layer,country,name,lat,lon,date,description,color,id
Airports,AZ,Heydar Aliyev International Airport (GYD/UBBB),40.465668,50.052438,2013-06-20,,#1a237e,p-ea13afcaf25b48a7a80914b3a960ce00
Airports,CH,Zurich Airport (ZRH/LSZH),47.461235,8.553498,2021-12-09,,#1a237e,p-f38ace9a80a34df882750336dc3b000c
Airports,CY,Larnaca International Airport (LCA/LCLK),34.87234,33.620352,2017-06-07,,#1a237e,p-45ce9a3cc83646dda513fe8836244668
Airports,CY,Paphos International Airport (PFO/LCPH),34.7172,32.484207,2019-06-15,,#1a237e,p-d70a5a6c9a45476fa283a9bf3f196787
Airports,CZ,Václav Havel Airport Prague (PRG/LKPR),50.101791,14.263181,2018-02-21,,#1a237e,p-b5ce10124bd349f5924dd1688284b43e
Airports,DE,Berlin Tegel Airport (TXL/EDDT),52.555381,13.295646,2018-11-07,,#1a237e,p-b6460df645a7443cb32c1c8a38ca83d5
Airports,DE,Berlin Schönefeld Airport (SXF/EDDB),52.373315,13.50645,2010-02-23,,#1a237e,p-043d95cc8b004351824ad566f83d76b7
Airports,DE,Frankfurt Airport (FRA/EDDF),50.037933,8.562152,2019-04-09,,#1a237e,p-64b2cd93ac0147af9eea51aca2849a7a
Airports,DE,Munich Airport (MUC/EDDM),48.353642,11.783185,2024-06-18,,#1a237e,p-1cfc256959d442d089603eef8e2805ec
Airports,DE,Weeze Airport (NRN/EDLV),51.599609,6.15045,2010-02-23,,#1a237e,p-b096540f70064af7b3bcb313cfaf26f6
Airports,DK,Copenhagen Airport (CPH/EKCH),55.611963,12.647754,2023-11-13,,#1a237e,p-57a932af90b049e5a851a419a709c6cf
Airports,EE,Tallinn Airport (TLL/EETN),59.414551,24.833465,2021-12-24,,#1a237e,p-d9f9abe3c5884b66a46ca615da3b1804
Airports,EG,Hurghada International Airport (HRG/HEGN),27.180284,33.807598,2025-04-18,,#1a237e,p-f0e8ac0908ee4dfd9cc1d66313663e40
Airports,ES,Alicante-Elche Miguel Hernández Airport (ALC/LEAL),38.284924,-0.562213,2025-03-21,,#1a237e,p-990a117b1a3441b1915b83e98722d5e1
Airports,ES,Josep Tarradellas Barcelona-El Prat Airport (BCN/LEBL),41.297445,2.083294,2015-08-24,,#1a237e,p-f2273116aecd40629fd069d501194085
Airports,ES,Girona-Costa Brava Airport (GRO/LEGE),41.897842,2.766064,2023-06-09,,#1a237e,p-257beebcb1d24adfb6b0bc07751f80cd
Airports,ES,Adolfo Suárez Madrid-Barajas Airport (MAD/LEMD),40.490158,-3.591055,2015-09-05,,#1a237e,p-dd3ccdd8ca7d47d186db1ff939cc246d
Airports,ES,Valencia Airport (VLC/LEVC),39.488013,-0.480914,2025-03-19,,#1a237e,p-24f7066e26734d5da3ed5014fe85dcb3
Airports,FR,EuroAirport Basel Mulhouse Freiburg (BSL/LFSB),47.597282,7.525896,2024-02-07,,#1a237e,p-0acf3431435347f69cee9e941cb48d37
Airports,FR,Paris Orly Airport (ORY/LFPO),48.729918,2.37323,2025-06-21,,#1a237e,p-da8d43c3b66e4af39acb777cd14d7b8d
Airports,FR,Paris Beauvais Airport (BVA/LFOB),49.45946,2.112224,2019-12-28,,#1a237e,p-88716fc2274d4322942f443ac37aac24
Airports,FR,Paris Charles de Gaulle Airport (CDG/LFPG),49.009674,2.547966,2007-09-21,,#1a237e,p-ee936026bd844a5ab6a3663aec6d0cec
