file,mode,name,date,distance_km,notes,id,source,original_file,original_sha256,min_altitude_m,max_altitude_m,original_points,map_points,simplify_degrees
drive__0000_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Mykolaiv Urban Hromada,,41.2,,r-62c7ac1041384c3d9920ea939b5ef3c7,,,,,,,,
drive__0001_GraphHopper-Track.gpx,drive,Dobrotvir Settlement Hromada → Kulykiv Settlement Hromada,,38.4,,r-63704e8ed6dd4e0f8ea317734122b3b0,,,,,,,,
drive__0002_GraphHopper-Track.gpx,drive,Тамашоўскі сельскі Савет → Олтушскі сельскі Савет,,142.8,,r-b52191712d0846ce9b81857a9aab75c4,,,,,,,,
drive__0003_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Shatsk Settlement Hromada,,247.7,,r-cfc90db699b7480199d53755fd526802,,,,,,,,
drive__0004_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Skhidnytsia Settlement Hromada,,109.8,,r-351a0789b7694bceaf87df9725379f3b,,,,,,,,
drive__0005_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Kosmach Rural Hromada,,233.8,,r-7d13c2b20037481fa25947567875fae5,,,,,,,,
drive__0006_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Ivano-Frankove Settlement Hromada,,19.3,,r-e60ab7eb471440afa7ac78874138cf90,,,,,,,,
drive__0007_GraphHopper-Track.gpx,drive,Chaplynka settlement hromada → Oleshky urban hromada,,101.8,,r-1a8490cc4eba4d9ab54d1dc4f2981990,,,,,,,,
drive__0008_GraphHopper-Track.gpx,drive,Askania-Nova settlement hromada → Hryhorivka rural hromada,,62.6,,r-2afcd681e4b048bf9d0d995dd534420e,,,,,,,,
drive__0009_GraphHopper-Track.gpx,drive,Kyiv → Ukrainka Urban Hromada,,69.4,,r-69ba31d1408d482c9e1f44aef29ddd4b,,,,,,,,
drive__0010_GraphHopper-Track.gpx,drive,Irpin Urban Hromada → Kyiv,,24.8,,r-3d61f2a00cdf44629575cfb26d29fbff,,,,,,,,
drive__0011_GraphHopper-Track.gpx,drive,Kyiv → Зазимська сільська громада,,47.1,,r-c6c975a2079e42ca8a4eb7f7dafa5ace,,,,,,,,
drive__0012_GraphHopper-Track.gpx,drive,Kyiv → Novi Petrivtsi Rural Hromada,,32.6,,r-d542855214e744cfac35952eb8b874f1,,,,,,,,
drive__0013_GraphHopper-Track.gpx,drive,городской округ Железноводск → Запорожское сельское поселение,,637.4,,r-f46901f30f6c4b93930806998fedb78b,,,,,,,,
drive__0014_GraphHopper-Track.gpx,drive,Kyiv → Dymer Settlement Hromada,,127.0,,r-86e599ef384a49fcb0560a49a95db243,,,,,,,,
drive__0015_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Zhovkva Urban Hromada,,34.6,,r-e2d066ee14a24dbe9568dc93deb49956,,,,,,,,
drive__0016_GraphHopper-Track.gpx,drive,Burbank → Los Angeles,,601.0,,r-2a13dcda0c2947edb3d1eae9d8abcc74,,,,,,,,
drive__0017_GraphHopper-Track.gpx,drive,Dobrotvir Settlement Hromada → Lviv Urban Hromada,,57.5,,r-c9033d40b4f84766be977ddf0bbbdc70,,,,,,,,
drive__0018_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Khust Urban Hromada,,309.1,,r-b4fbc691f7434e0e8fc272770b4d076f,,,,,,,,
drive__0019_GraphHopper-Track.gpx,drive,Kyiv → Ічнянська міська громада,,168.0,,r-debbe1b3483541e0918ce22c01b377d8,,,,,,,,
drive__0020_GraphHopper-Track.gpx,drive,Kyiv → Korostyshiv Urban Hromada,,115.6,,r-919bc1ac945b4dceb0417412d7a0381a,,,,,,,,
drive__0021_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Koziova Rural Hromada,,134.6,,r-3d139452ae53494ba84eb51727125a5d,,,,,,,,
